threshold,accuracy,sensitivity,specificity,f1,f2,auc,tn,fp,fn,tp
0.05,0.7929577464788733,0.9716981132075472,0.527972027972028,0.8486096807415036,0.9184128399465002,0.9287669877292519,151,135,12,412
0.06,0.8056338028169014,0.9716981132075472,0.5594405594405595,0.8565488565488566,0.9221128021486124,0.9287669877292519,160,126,12,412
0.07,0.8084507042253521,0.9693396226415094,0.5699300699300699,0.8580375782881002,0.92152466367713,0.9287669877292519,163,123,13,411
0.08,0.8169014084507042,0.964622641509434,0.5979020979020979,0.8628691983122363,0.9211711711711712,0.9287669877292519,171,115,15,409
0.09,0.8225352112676056,0.9622641509433962,0.6153846153846154,0.8662420382165605,0.9214092140921409,0.9287669877292519,176,110,16,408
0.1,0.8253521126760563,0.9599056603773585,0.6258741258741258,0.8678038379530917,0.920814479638009,0.9287669877292519,179,107,17,407
0.11,0.8267605633802817,0.9551886792452831,0.6363636363636364,0.8681672025723473,0.9183673469387755,0.9287669877292519,182,104,19,405
0.12,0.8267605633802817,0.9481132075471698,0.6468531468531469,0.8673139158576052,0.9140518417462483,0.9287669877292519,185,101,22,402
0.13,0.828169014084507,0.9433962264150944,0.6573426573426573,0.8676789587852495,0.9115770282588879,0.9287669877292519,188,98,24,400
0.14,0.8309859154929577,0.9410377358490566,0.6678321678321678,0.869281045751634,0.910958904109589,0.9287669877292519,191,95,25,399
0.15,0.828169014084507,0.9339622641509434,0.6713286713286714,0.8665207877461707,0.9057639524245197,0.9287669877292519,192,94,28,396
0.16,0.8309859154929577,0.9339622641509434,0.6783216783216783,0.868421052631579,0.9065934065934066,0.9287669877292519,194,92,28,396
0.17,0.828169014084507,0.9292452830188679,0.6783216783216783,0.865934065934066,0.9028414298808433,0.9287669877292519,194,92,30,394
0.18,0.8323943661971831,0.9292452830188679,0.6888111888111889,0.8687982359426681,0.9040844424047728,0.9287669877292519,197,89,30,394
0.19,0.8352112676056338,0.9268867924528302,0.6993006993006993,0.8704318936877077,0.903448275862069,0.9287669877292519,200,86,31,393
