threshold,accuracy,sensitivity,specificity,f1,f2,auc,tn,fp,fn,tp
0.05,0.7366197183098592,0.9834905660377359,0.3706293706293706,0.8168462291870715,0.9092891408634975,0.9084724238026125,106,180,7,417
0.06,0.7380281690140845,0.9834905660377359,0.3741258741258741,0.8176470588235294,0.9096858638743456,0.9084724238026125,107,179,7,417
0.07,0.7450704225352113,0.9834905660377359,0.3916083916083916,0.8216748768472907,0.9116746829908177,0.9084724238026125,112,174,7,417
0.08,0.7492957746478873,0.9834905660377359,0.4020979020979021,0.8241106719367589,0.9128721541155866,0.9084724238026125,115,171,7,417
0.09,0.7507042253521127,0.9811320754716981,0.4090909090909091,0.8245787908820614,0.9118807540552389,0.9084724238026125,117,169,8,416
0.1,0.7605633802816901,0.9787735849056604,0.4370629370629371,0.83,0.9132922535211268,0.9084724238026125,125,161,9,415
0.11,0.7718309859154929,0.9787735849056604,0.46503496503496505,0.8366935483870968,0.9165194346289752,0.9084724238026125,133,153,9,415
0.12,0.7788732394366197,0.9740566037735849,0.48951048951048953,0.8402848423194303,0.9157427937915743,0.9084724238026125,140,146,11,413
0.13,0.7859154929577464,0.9740566037735849,0.506993006993007,0.8445807770961146,0.9177777777777778,0.9084724238026125,145,141,11,413
0.14,0.7929577464788733,0.9740566037735849,0.5244755244755245,0.8489208633093526,0.9198218262806236,0.9084724238026125,150,136,11,413
0.15,0.7985915492957747,0.9740566037735849,0.5384615384615384,0.8524251805985552,0.9214636323070058,0.9084724238026125,154,132,11,413
0.16,0.8028169014084507,0.9740566037735849,0.548951048951049,0.855072463768116,0.9226988382484361,0.9084724238026125,157,129,11,413
0.17,0.8112676056338028,0.9716981132075472,0.5734265734265734,0.860125260960334,0.9237668161434978,0.9084724238026125,164,122,12,412
0.18,0.8154929577464789,0.9716981132075472,0.583916083916084,0.86282722513089,0.9250112258643916,0.9084724238026125,167,119,12,412
0.19,0.8140845070422535,0.9693396226415094,0.583916083916084,0.8616352201257862,0.9231805929919138,0.9084724238026125,167,119,13,411
0.2,0.8140845070422535,0.9669811320754716,0.5874125874125874,0.8613445378151261,0.9217625899280576,0.9084724238026125,168,118,14,410
0.21,0.8126760563380282,0.964622641509434,0.5874125874125874,0.8601472134595163,0.9199280251911831,0.9084724238026125,168,118,15,409
0.22,0.8140845070422535,0.964622641509434,0.5909090909090909,0.8610526315789474,0.9203420342034203,0.9084724238026125,169,117,15,409
0.23,0.8154929577464789,0.964622641509434,0.5944055944055944,0.8619599578503688,0.9207564160288159,0.9084724238026125,170,116,15,409
0.24,0.8169014084507042,0.964622641509434,0.5979020979020979,0.8628691983122363,0.9211711711711712,0.9084724238026125,171,115,15,409
0.25,0.8154929577464789,0.9599056603773585,0.6013986013986014,0.8613756613756614,0.9179070816418584,0.9084724238026125,172,114,17,407
0.26,0.8140845070422535,0.9575471698113207,0.6013986013986014,0.8601694915254238,0.9160649819494585,0.9084724238026125,172,114,18,406
0.27,0.8169014084507042,0.9575471698113207,0.6083916083916084,0.861995753715499,0.916892502258356,0.9084724238026125,174,112,18,406
0.28,0.819718309859155,0.9575471698113207,0.6153846153846154,0.8638297872340426,0.9177215189873418,0.9084724238026125,176,110,18,406
0.29,0.823943661971831,0.9575471698113207,0.6258741258741258,0.8665955176093917,0.9189678587596197,0.9084724238026125,179,107,18,406
0.3,0.828169014084507,0.9575471698113207,0.6363636363636364,0.8693790149892934,0.9202175883952856,0.9084724238026125,182,104,18,406
0.31,0.828169014084507,0.9528301886792453,0.6433566433566433,0.8688172043010752,0.9173478655767484,0.9084724238026125,184,102,20,404
0.32,0.8267605633802817,0.9504716981132075,0.6433566433566433,0.8675995694294941,0.9154929577464789,0.9084724238026125,184,102,21,403
0.33,0.8295774647887324,0.9481132075471698,0.6538461538461539,0.8691891891891892,0.9148839326354119,0.9084724238026125,187,99,22,402
0.34,0.8309859154929577,0.9457547169811321,0.6608391608391608,0.8698481561822126,0.9138559708295351,0.9084724238026125,189,97,23,401
0.35,0.8352112676056338,0.9433962264150944,0.6748251748251748,0.8724100327153762,0.9136592051164916,0.9084724238026125,193,93,24,400
0.36,0.8408450704225352,0.9433962264150944,0.6888111888111889,0.8762322015334063,0.9153318077803204,0.9084724238026125,197,89,24,400
0.37,0.8408450704225352,0.9433962264150944,0.6888111888111889,0.8762322015334063,0.9153318077803204,0.9084724238026125,197,89,24,400
0.38,0.8422535211267606,0.9433962264150944,0.6923076923076923,0.8771929824561403,0.9157509157509157,0.9084724238026125,198,88,24,400
0.39,0.8408450704225352,0.9410377358490566,0.6923076923076923,0.8759604829857299,0.9138799816765919,0.9084724238026125,198,88,25,399
0.4,0.8422535211267606,0.9410377358490566,0.6958041958041958,0.8769230769230769,0.9142988084326306,0.9084724238026125,199,87,25,399
0.41,0.8394366197183099,0.9339622641509434,0.6993006993006993,0.8741721854304636,0.9090909090909091,0.9084724238026125,200,86,28,396
0.42,0.8380281690140845,0.9316037735849056,0.6993006993006993,0.8729281767955801,0.9072117593017914,0.9084724238026125,200,86,29,395
0.43,0.8366197183098592,0.9292452830188679,0.6993006993006993,0.8716814159292036,0.9053308823529411,0.9084724238026125,200,86,30,394
0.44,0.8408450704225352,0.9268867924528302,0.7132867132867133,0.8743047830923248,0.9051128512206357,0.9084724238026125,204,82,31,393
0.45,0.8408450704225352,0.9268867924528302,0.7132867132867133,0.8743047830923248,0.9051128512206357,0.9084724238026125,204,82,31,393
0.46,0.8422535211267606,0.9268867924528302,0.7167832167832168,0.8752783964365256,0.9055299539170507,0.9084724238026125,205,81,31,393
0.47,0.8394366197183099,0.9221698113207547,0.7167832167832168,0.8727678571428571,0.9017527675276753,0.9084724238026125,205,81,33,391
0.48,0.8422535211267606,0.9221698113207547,0.7237762237762237,0.8747203579418344,0.9025854108956602,0.9084724238026125,207,79,33,391
0.49,0.8450704225352113,0.9221698113207547,0.7307692307692307,0.8766816143497758,0.9034195933456562,0.9084724238026125,209,77,33,391
0.5,0.8422535211267606,0.9174528301886793,0.7307692307692307,0.8741573033707866,0.8996299722479186,0.9084724238026125,209,77,35,389
0.51,0.8436619718309859,0.9150943396226415,0.7377622377622378,0.874859075535513,0.8985641500694767,0.9084724238026125,211,75,36,388
0.52,0.8422535211267606,0.910377358490566,0.7412587412587412,0.8733031674208145,0.8951762523191095,0.9084724238026125,212,74,38,386
0.53,0.8422535211267606,0.910377358490566,0.7412587412587412,0.8733031674208145,0.8951762523191095,0.9084724238026125,212,74,38,386
0.54,0.8408450704225352,0.9080188679245284,0.7412587412587412,0.8720271800679502,0.8932714617169374,0.9084724238026125,212,74,39,385
0.55,0.8394366197183099,0.9056603773584906,0.7412587412587412,0.8707482993197279,0.8913649025069638,0.9084724238026125,212,74,40,384
0.56,0.8464788732394366,0.9033018867924528,0.7622377622377622,0.8754285714285714,0.8919422449930136,0.9084724238026125,218,68,41,383
0.57,0.8464788732394366,0.9009433962264151,0.7657342657342657,0.8751431844215349,0.8904428904428905,0.9084724238026125,219,67,42,382
0.58,0.8422535211267606,0.8915094339622641,0.7692307692307693,0.8709677419354839,0.883177570093458,0.9084724238026125,220,66,46,378
0.59,0.8408450704225352,0.8844339622641509,0.7762237762237763,0.8690614136732329,0.8782201405152225,0.9084724238026125,222,64,49,375
0.6,0.8408450704225352,0.8820754716981132,0.7797202797202797,0.8687572590011614,0.876699484294421,0.9084724238026125,223,63,50,374
0.61,0.8394366197183099,0.8726415094339622,0.7902097902097902,0.8665105386416861,0.8701787394167451,0.9084724238026125,226,60,54,370
0.62,0.8422535211267606,0.8702830188679245,0.8006993006993007,0.8682352941176471,0.8694627709707823,0.9084724238026125,229,57,55,369
0.63,0.8380281690140845,0.8632075471698113,0.8006993006993007,0.8642266824085005,0.8636149126946673,0.9084724238026125,229,57,58,366
0.64,0.8338028169014085,0.8561320754716981,0.8006993006993007,0.8601895734597157,0.8577504725897921,0.9084724238026125,229,57,61,363
0.65,0.8323943661971831,0.8537735849056604,0.8006993006993007,0.8588374851720048,0.8557919621749409,0.9084724238026125,229,57,62,362
0.66,0.8338028169014085,0.8537735849056604,0.8041958041958042,0.8598574821852731,0.8561967833491012,0.9084724238026125,230,56,62,362
0.67,0.8338028169014085,0.8490566037735849,0.8111888111888111,0.8591885441527446,0.8530805687203792,0.9084724238026125,232,54,64,360
0.68,0.8338028169014085,0.8466981132075472,0.8146853146853147,0.8588516746411483,0.8515180265654649,0.9084724238026125,233,53,65,359
0.69,0.8267605633802817,0.8301886792452831,0.8216783216783217,0.8512696493349455,0.8384945212005717,0.9084724238026125,235,51,72,352
0.7,0.8295774647887324,0.8301886792452831,0.8286713286713286,0.8533333333333334,0.8392942298521697,0.9084724238026125,237,49,72,352
0.71,0.8295774647887324,0.8278301886792453,0.8321678321678322,0.8529769137302552,0.837708830548926,0.9084724238026125,238,48,73,351
0.72,0.8295774647887324,0.8231132075471698,0.8391608391608392,0.8522588522588522,0.8345289335246293,0.9084724238026125,240,46,75,349
0.73,0.8309859154929577,0.8207547169811321,0.8461538461538461,0.8529411764705882,0.8333333333333334,0.9084724238026125,242,44,76,348
0.74,0.828169014084507,0.8160377358490566,0.8461538461538461,0.8501228501228502,0.8293384467881112,0.9084724238026125,242,44,78,346
0.75,0.8267605633802817,0.8136792452830188,0.8461538461538461,0.8487084870848709,0.8273381294964028,0.9084724238026125,242,44,79,345
0.76,0.819718309859155,0.7995283018867925,0.8496503496503497,0.8411910669975186,0.8156881616939364,0.9084724238026125,243,43,85,339
0.77,0.8140845070422535,0.7877358490566038,0.8531468531468531,0.835,0.805984555984556,0.9084724238026125,244,42,90,334
0.78,0.8169014084507042,0.785377358490566,0.8636363636363636,0.8366834170854272,0.8051257253384912,0.9084724238026125,247,39,91,333
0.79,0.8154929577464789,0.7830188679245284,0.8636363636363636,0.8352201257861636,0.803096274794388,0.9084724238026125,247,39,92,332
0.8,0.8084507042253521,0.7712264150943396,0.8636363636363636,0.8278481012658228,0.7929194956353055,0.9084724238026125,247,39,97,327
0.81,0.8070422535211268,0.7688679245283019,0.8636363636363636,0.826362484157161,0.7908782144590005,0.9084724238026125,247,39,98,326
0.82,0.8014084507042254,0.7594339622641509,0.8636363636363636,0.8203821656050956,0.7826932425862907,0.9084724238026125,247,39,102,322
0.83,0.7985915492957747,0.7523584905660378,0.8671328671328671,0.8169014084507042,0.7769118363370677,0.9084724238026125,248,38,105,319
0.84,0.7971830985915493,0.7429245283018868,0.8776223776223776,0.813953488372093,0.7697947214076246,0.9084724238026125,251,35,109,315
0.85,0.7971830985915493,0.7358490566037735,0.8881118881118881,0.8125,0.7647058823529411,0.9084724238026125,254,32,112,312
0.86,0.7887323943661971,0.7169811320754716,0.8951048951048951,0.8021108179419525,0.7487684729064039,0.9084724238026125,256,30,120,304
0.87,0.780281690140845,0.7028301886792453,0.8951048951048951,0.7925531914893617,0.7361660079051383,0.9084724238026125,256,30,126,298
0.88,0.7718309859154929,0.6863207547169812,0.8986013986013986,0.782258064516129,0.7217261904761905,0.9084724238026125,257,29,133,291
0.89,0.7647887323943662,0.6721698113207547,0.9020979020979021,0.7734056987788331,0.7093081134892981,0.9084724238026125,258,28,139,285
0.9,0.752112676056338,0.6438679245283019,0.9125874125874126,0.7562326869806094,0.6845536609829489,0.9084724238026125,261,25,151,273
0.91,0.7507042253521127,0.6367924528301887,0.9195804195804196,0.7531380753138075,0.6787330316742082,0.9084724238026125,263,23,154,270
0.92,0.747887323943662,0.6297169811320755,0.9230769230769231,0.7489481065918654,0.672544080604534,0.9084724238026125,264,22,157,267
0.93,0.7394366197183099,0.6108490566037735,0.9300699300699301,0.7368421052631579,0.6556962025316456,0.9084724238026125,266,20,165,259
0.94,0.7309859154929578,0.5919811320754716,0.9370629370629371,0.7243867243867244,0.638676844783715,0.9084724238026125,268,18,173,251
0.95,0.7253521126760564,0.5778301886792453,0.9440559440559441,0.7153284671532847,0.6259580991313235,0.9084724238026125,270,16,179,245
