architecture,metric,no_aug_mean,no_aug_std,with_aug_mean,with_aug_std,delta_abs,delta_rel_pct
resnet50,accuracy,0.8295774647887324,0.05255805114660642,0.8422535211267606,0.0305344836460264,0.012676056338028152,1.5280135823429521
resnet50,sensitivity,0.9163004874288034,0.025432504088404143,0.9190345904111976,0.0444756423600946,0.002734102982394182,0.2983849752242571
resnet50,specificity,0.704469696969697,0.10439543562152527,0.7268065268065268,0.0547907044007884,0.02233682983682983,3.170729689710224
resnet50,f1,0.8653270379873004,0.040223255225706384,0.8741754255695025,0.0210066082864392,0.008848387582202077,1.022548376944618
resnet50,f2,0.894770062715615,0.02511441036980999,0.9003445726531012,0.0328462574655821,0.005574509937486205,0.6230103319022144
resnet50,auc,0.8989296918934038,0.0332341904020555,0.920885405761598,0.022664588999964,0.021955713868194282,2.442428375232467
efficientnet_b0,accuracy,0.8309859154929576,0.03069647143338503,0.8661971830985914,0.0238814436025537,0.035211267605633756,4.237288135593215
efficientnet_b0,sensitivity,0.9044321128751758,0.05803061252202549,0.8849240428044922,0.0335408367542315,-0.01950807007068356,-2.156941332906425
efficientnet_b0,specificity,0.7242890442890444,0.13542317598156198,0.8424708624708626,0.0537325490043186,0.11818181818181817,16.316941297631303
efficientnet_b0,f1,0.8643622884449844,0.022408376438874382,0.8865946721574568,0.0253166199339495,0.02223238371247238,2.572114032470014
efficientnet_b0,f2,0.8871140234059322,0.033708757548625415,0.8853950876569512,0.0269159077967439,-0.0017189357489809654,-0.1937671712573528
efficientnet_b0,auc,0.9203051001377063,0.014776655571658451,0.9277422495154038,0.0214730412977998,0.007437149377697572,0.8081178053435478
